SKU,Brand,Product Name,Category,ADL Price,MEL Price,Price Difference,ADL packaging,MEL packaging,ADL Specials,MEL Specials,Same Specials,ADL Suppliers,MEL Suppliers
105280P,Continental,French Onion Salt Reduced Soup Serves 4,Pantry,0.9,1.0,0.09999999999999998,35g,35g,,,True,['421901 UNILEVER A'],['421901 UNILEVER A']
6934039P,Lindt,Hot Chocolate Flakes,Drinks,7.0,7.5,0.5,210g,210g,,,True,['929588 LINDT & SPRUNGLI (AUST) P/L'],['929588 LINDT & SPRUNGLI (AUST) P/L']
1492443P,Red Bull,Zero Energy Drink Multipack 250mL,Drinks,10.85,10.2,0.6500000000000004,4 pack,4 pack,,,True,"['935067 RED BULL AUST P/L', '44059 ASAHI BEVERAGES PTY LTD']","['935067 RED BULL AUST P/L', '44059 ASAHI BEVERAGES PTY LTD']"
1828410P,Yaru,Still Mineral Water,Back to School,2.9,2.8,0.10000000000000009,1L,1L,,,True,"['975459 YARU AUSTRALIA PTY LTD', '967732 YARU P/L']","['975459 YARU AUSTRALIA PTY LTD', '967732 YARU P/L']"
9131391P,Swisse,Ultiboost Magnesium Tablets,Health & Beauty,17.0,17.5,0.5,120 pack,120 pack,$pecials,$pecials,True,"['973071 SWISSE WELLNESS (BONUS STOCK A/C', '953875 SWISSE VITAMINS (ACCOUNT NO 2 )']","['973071 SWISSE WELLNESS (BONUS STOCK A/C', '953875 SWISSE VITAMINS (ACCOUNT NO 2 )']"
5129875P,Daily Juice,Apple Juice Chilled,Drinks,4.8,5.0,0.20000000000000018,2L,2L,,$pecials,False,"['694789 BERRI LTD', '4111 LD & D AUST P/L']","['694789 BERRI LTD', '4111 LD & D AUST P/L']"
4298877P,Coopers,Mild Ale Bottle 375mL,Liquor,44.0,16.0,28.0,6 Pack,6 Pack,,,True,"['800393 COOPERS BREWERY', '79413 COOPERS BREWERY LTD', '804668 PREMIUM BEVERAGES P/L', '963979 MAX LIQUOR SUPPLIES']","['800393 COOPERS BREWERY', '79413 COOPERS BREWERY LTD', '804668 PREMIUM BEVERAGES P/L', '963979 MAX LIQUOR SUPPLIES']"
60202P,Heineken,Bottle 330mL,Summer Entertaining,50.0,47.0,3.0,24 Pack,24 Pack,$pecials,$pecials,True,"['169871 CASTLEMAINE PERKINS LTD', '47082 TOOHEYS P/L', '729248 AUSTRALIAN LIQUOR MARKETERS P/L', '975969 LION-BEER SPIRITS & WINE PTY LTD', '710911 LION NATHAN VICTORIA P/L (BEER)', '254762 THE SOUTH AUST BREWING CO P/L', '42196 THE SWAN BREWERY CO P/L']","['169871 CASTLEMAINE PERKINS LTD', '47082 TOOHEYS P/L', '729248 AUSTRALIAN LIQUOR MARKETERS P/L', '975969 LION-BEER SPIRITS & WINE PTY LTD', '710911 LION NATHAN VICTORIA P/L (BEER)', '254762 THE SOUTH AUST BREWING CO P/L', '42196 THE SWAN BREWERY CO P/L']"
3278852P,Frantelle,Pineapple & Orange Essence Sparkling Water Cans 375mL,Drinks,12.75,11.55,1.1999999999999993,10 pack,10 pack,,,True,['44059 ASAHI BEVERAGES PTY LTD'],['44059 ASAHI BEVERAGES PTY LTD']
2917923P,Table Of Plenty,Kefir Natural Yoghurt,"Dairy, Eggs & Meals",7.8,7.7,0.09999999999999964,1Kg,1Kg,,,True,"['974829 TABLE OF PLENTY', '953867 TABLE OF PLENTY']","['974829 TABLE OF PLENTY', '953867 TABLE OF PLENTY']"
