SKU,Brand,Product Name,Category,ADL Price,MEL Price,Price Difference,ADL packaging,MEL packaging,ADL Specials,MEL Specials,Specials Comp,ADL Suppliers,MEL Suppliers
134765P,Plumrose,Cocktail Frankfurts 25 pack,Pantry,4.3,4.3,0.0,400g,400g,,,True,"['956724 ZWANENBERG', '14729 SIMPLOT AU']","['956724 ZWANENBERG', '14729 SIMPLOT AU']"
3302389P,Suimin Origins,Beef Massaman Noodle Bowl,Pantry,3.0,3.0,0.0,137g,137g,,,True,['68021 SAN REMO MACARONI CO P/L ACCT 1'],['68021 SAN REMO MACARONI CO P/L ACCT 1']
3576114P,Mainland,On The Go Colby Cheese & Artisan Crackers,Back to School,2.5,2.5,0.0,38g,38g,$pecials,$pecials,True,['322385 FONTERRA BRANDS (AUST) P/L'],['322385 FONTERRA BRANDS (AUST) P/L']
2351710P,Cadbury,Dairy Milk Crunchie Chocolate Block,Pantry,3.5,3.5,0.0,180g,180g,$pecials,$pecials,True,['618748 CADBURY P/L'],['618748 CADBURY P/L']
3815780P,Ritz,Mediterranean Herb Breakz Crackers,Pantry,3.0,3.0,0.0,250g,250g,$pecials,$pecials,True,"['637882 KRAFT FOODS LTD (BISCUITS)', '967206 KRAFT FOODS AUST P/L (COOKIES)']","['637882 KRAFT FOODS LTD (BISCUITS)', '967206 KRAFT FOODS AUST P/L (COOKIES)']"
7908715P,Rockstar,Punched Tropical Guava Flavoured Energy Drink 500mL,Drinks,10.0,10.0,0.0,4 pack,4 pack,,,True,['935273 FRUCOR BEVERAGES (AUST) P/L'],['935273 FRUCOR BEVERAGES (AUST) P/L']
9933757P,Coles,Mini Hommus Dips 3 Pack,Summer Entertaining,2.0,2.0,0.0,180g,180g,$pecials,$pecials,True,"[""938144 CHRIS' GREEK DIPS (PRIVATE LABEL"", ""973314 CHRIS' FOODS (COLES BRAND)""]","[""938144 CHRIS' GREEK DIPS (PRIVATE LABEL"", ""973314 CHRIS' FOODS (COLES BRAND)""]"
5586017P,Yoplait,Strawberry Yoghurt,"Dairy, Eggs & Meals",4.0,4.0,0.0,1kg,1kg,,,True,['665231 LD & D AUST P/L'],['665231 LD & D AUST P/L']
156484P,Three Threes,Sweet Mustard Pickles,Pantry,1.8,1.8,0.0,250g,250g,,,True,['46850 THREE THRE'],['46850 THREE THRE']
36191P,Crown,Lager Bottle 375mL,Liquor,59.0,55.0,4.0,24 Pack,24 Pack,,,True,['9393 CUB P/L'],['9393 CUB P/L']
3734066P,Vicks,Vapodrop Butter Menthol Lozenges,Health & Beauty,6.8,6.8,0.0,42 pack,42 pack,,,True,['422720 PROCTER & GAMBLE AUST P/L'],['422720 PROCTER & GAMBLE AUST P/L']
9938604P,Angas Park,Dried Pitted Prunes,Pantry,10.0,10.0,0.0,1kg,1kg,$pecials,$pecials,True,['56308 SUNBEAM FOODS P/L (MER_GR)'],['56308 SUNBEAM FOODS P/L (MER_GR)']
447578P,Nestle,Bakers' Choice Dark Chocolate Melts,Pantry,3.85,3.85,0.0,290g,290g,,,True,['621994 NESTLE AUST LTD'],['621994 NESTLE AUST LTD']
3196656P,Earth Choice,Ultra Concentrate Bio Plus+ Laundry Liquid With Stain Remover,Household,14.0,14.0,0.0,2L,2L,,,True,['653217 NATURES ORGANICS P/L'],['653217 NATURES ORGANICS P/L']
2399465P,Radiant,Whites & Colours Top & Front Loader Laundry Powder,Household,7.5,7.5,0.0,2kg,2kg,,,True,['9091 PZ CUSSONS AUST P/L'],['9091 PZ CUSSONS AUST P/L']
3363995P,Rexona,Clinical Protection Summer Strength Antiperspirant Roll On,Summer Entertaining,8.0,8.0,0.0,50mL,50mL,,,True,['26867 UNILEVER A/ASIA HOME &PERSONAL C'],['26867 UNILEVER A/ASIA HOME &PERSONAL C']
8331872P,Nobby's,Salted Cashews,Summer Entertaining,7.0,7.0,0.0,300g,300g,$pecials,$pecials,True,['651451 THE SMITHS SNACKFOOD P/L'],['651451 THE SMITHS SNACKFOOD P/L']
9015390P,Head & Shoulders,Clean & Balanced Anti-Dandruff Shampoo,Health & Beauty,11.0,11.0,0.0,400mL,400mL,,,True,['422720 PROCTER & GAMBLE AUST P/L'],['422720 PROCTER & GAMBLE AUST P/L']
8649678P,Schwarzkopf,Extra Care Heidi's Heat Styles Heat Sheild,Health & Beauty,6.95,6.95,0.0,150g,150g,,,True,['65480 HENKEL AUST P/L'],['65480 HENKEL AUST P/L']
131541P,Golden Circle,Sliced Beetroot,Pantry,1.0,1.0,0.0,450g,450g,$pecials,$pecials,True,['109738 HEINZ'],['109738 HEINZ']
5956091P,Lipton,Decaffeinated Black Tea Bags,Pantry,5.2,5.2,0.0,50 pack,50 pack,,,True,"['606651 BOTANY INTL FOODS P/L', '421901 UNILEVER A/ASIA FOODS']","['606651 BOTANY INTL FOODS P/L', '421901 UNILEVER A/ASIA FOODS']"
3405789P,Wellness Road,Organic White Quinoa,Pantry,7.0,7.0,0.0,500g,500g,,,True,['968925 ANNEX FOODS PTY LTD'],['968925 ANNEX FOODS PTY LTD']
3301149P,Rascal & Friends,Unisex Premium Infant Nappies 4-8 Kg Size 2,Baby,14.0,14.0,0.0,48 pack,48 pack,,,True,"['656186 COLES SUPERMARKETS (EXP)', '977379 ZURU PTY LIMITED', '975265 RASCAL AND FRIENDS']","['656186 COLES SUPERMARKETS (EXP)', '977379 ZURU PTY LIMITED', '975265 RASCAL AND FRIENDS']"
3744773P,Bref,Purple Active Lavender,Household,6.0,6.0,0.0,50g,50g,,,True,['972100 HENKEL AUSTRALIA PTY LTD'],['972100 HENKEL AUSTRALIA PTY LTD']
3223533P,Bref,Lavender Toilet Gel Colour Change Indicator,Household,2.5,2.5,0.0,450mL,450mL,$pecials,$pecials,True,['972100 HENKEL AUSTRALIA PTY LTD'],['972100 HENKEL AUSTRALIA PTY LTD']
6075829P,Deoflor,Cleaner Toilet Incistern,Household,3.0,3.0,0.0,110g,110g,,,True,"['963156 MAGIC CHEF AUST P/L', '359238 MAGIC CHEF P/L', '976962 MAGIC CHEF AUSTRALIA PTY LTD (CB']","['963156 MAGIC CHEF AUST P/L', '359238 MAGIC CHEF P/L', '976962 MAGIC CHEF AUSTRALIA PTY LTD (CB']"
130050P,McKenzie's,Whole Green Lentils,Pantry,2.3,2.3,0.0,375g,375g,,,True,['50032 WARD MCKEN'],['50032 WARD MCKEN']
5723490P,Perfect Italiano,Grated Cheese Perfect Pizza,"Dairy, Eggs & Meals",7.65,7.65,0.0,450g,450g,,,True,['322385 FONTERRA BRANDS (AUST) P/L'],['322385 FONTERRA BRANDS (AUST) P/L']
3913611P,Glen 20,Country Scent Disinfectant Spray,Household,9.85,9.85,0.0,375g,375g,,,True,['975782 RB (HYGIENE HOME) AUSTRALIA PTY'],['975782 RB (HYGIENE HOME) AUSTRALIA PTY']
2937771P,Purina,"Total Care Heartwormer, Allwormer & Flea Control  for Small Dogs",Pet,19.2,19.2,0.0,1 pack,1 pack,$pecials,$pecials,True,['953231 NESTLE PURINA PETCARE'],['953231 NESTLE PURINA PETCARE']
2507251P,Gillette,Venus Satin Care with a Touch of Olay Violet Swirl Shaving Gel,Health & Beauty,4.0,4.0,0.0,195g,195g,$pecials,$pecials,True,['422720 PROCTER & GAMBLE AUST P/L'],['422720 PROCTER & GAMBLE AUST P/L']
3478400P,Cobs,Sweet & Salty Gluten Free Popcorn,Back to School,3.15,3.15,0.0,65g,65g,,,True,['974102 COBS FINE FOODS'],['974102 COBS FINE FOODS']
2623864P,Beechworth,Bee Cause Australian River Honey,Back to School,8.5,8.5,0.0,400g,400g,,,True,['930546 BEECHWORTH HONEY P/L'],['930546 BEECHWORTH HONEY P/L']
3272426P,Mr Finch,Apple Lower Sugar Cider Bottle 330mL,Liquor,15.0,15.0,0.0,6 Pack,6 Pack,,,True,['963979 MAX LIQUOR SUPPLIES'],['963979 MAX LIQUOR SUPPLIES']
3583040P,Nair,Hair Removal Shower Cream With Coconut Oil,Health & Beauty,7.75,7.75,0.0,357g,357g,$pecials,$pecials,True,['7641 CHURCH & DWIGHT (AUST) P/L'],['7641 CHURCH & DWIGHT (AUST) P/L']
3838913P,Natures,Kitchen Mexican Style Jackfruit,"Dairy, Eggs & Meals",7.0,7.0,0.0,250g,250g,,,True,"['965928 SCALZO FOOD INDS (GROC) (HOUSEBR', '939013 COLES SUPERMARKETS P/L']","['965928 SCALZO FOOD INDS (GROC) (HOUSEBR', '939013 COLES SUPERMARKETS P/L']"
3112747P,Cook & Dine,Utility Knife,Household,4.5,4.5,0.0,1 each,1 each,,,True,"['971613 GROUPE SEB AUSTRALIA PTY LTD', '970149 Globaleyes Distribution (COLESBR', '945707 GLOBALEYES DISTRIBUTION P/L (XDO', '975760 GLOBALEYES DISTRIBUTION PTY LTD']","['971613 GROUPE SEB AUSTRALIA PTY LTD', '970149 Globaleyes Distribution (COLESBR', '945707 GLOBALEYES DISTRIBUTION P/L (XDO', '975760 GLOBALEYES DISTRIBUTION PTY LTD']"
3763461P,I Love Cookies,Coconut Choc Chunk Cookies,Back to School,4.0,4.0,0.0,185g,185g,$pecials,$pecials,True,['975112 WALTER & WILD PTY LIMITED'],['975112 WALTER & WILD PTY LIMITED']
3164263P,Coles,Kitchen Zucchini Noodles,Fruit & Vegetables,3.0,3.0,0.0,250g,250g,,,True,"['414760 ST GEORGE PROD PTY LTD', '933347 COSTAS (TASMANIA)', '97446 CARTER & SPENCER GROUP P/L', '939312 FRESH PRODUCE DC (NSW)', '942633 CARTER & SPENCER NORTH QLD', ""635235 COSTA'S P/L (VIC DC)"", '939301 FRESH PRODUCE DC (WA)']","['414760 ST GEORGE PROD PTY LTD', '933347 COSTAS (TASMANIA)', '97446 CARTER & SPENCER GROUP P/L', '939312 FRESH PRODUCE DC (NSW)', '942633 CARTER & SPENCER NORTH QLD', ""635235 COSTA'S P/L (VIC DC)"", '939301 FRESH PRODUCE DC (WA)']"
2290444P,Pantene,Pro-V Always Smooth & Sleek Shampoo,Health & Beauty,10.0,10.0,0.0,900mL,900mL,$pecials,$pecials,True,['422720 PROCTER & GAMBLE AUST P/L'],['422720 PROCTER & GAMBLE AUST P/L']
6083168P,Saxa,Iodised Cooking Salt,Pantry,1.85,1.85,0.0,1kg,1kg,,,True,"['956921 CEREBOS FOODS SALT', '9709 CEREBOS AUST LTD']","['956921 CEREBOS FOODS SALT', '9709 CEREBOS AUST LTD']"
3476335P,Dr.Oetker,Frozen Papa Giuseppi's Rising Stuffed Crust Supreme Pizza,Frozen,8.0,8.0,0.0,525g,525g,,,True,"['975537 DR OETKER QUEEN AUSTRALIA', '964322 DR OETKER']","['975537 DR OETKER QUEEN AUSTRALIA', '964322 DR OETKER']"
